id,orderShopId,orderName,orderNameOrig,hint,hintOrig,fragmentName,fragmentNameOrig,fragmentCount,fragmentColor,clearRewardName,clearRewardNameOrig,firstClearRewardAmount,clearRewardAmount,stars,unlockCondition,reacceptable
,,,,,,,,,,,,,,,,
int,int,string,string,string,string,string,string,int,green|orange|blue|violet|red,string,string,int,int,int,json,boolean
0,1,Getting started No.1,入門編 その1,Play a music in BASIC difficulty,BASICをプレー,Getting started fragment 1,入門のかけら1,1,green,Stamp ticket,スタンプチケット,3,0,1,{},FALSE
1,2,Getting started No.2,入門編 その2,Play a music of J-POP genre,J-POPの楽曲をプレー,Getting started fragment 2,入門のかけら2,1,green,Stamp ticket,スタンプチケット,3,0,1,{"anyOrdersCleared":[0]},FALSE
2,3,Getting started No.3,入門編 その3,Play via matching,マッチングをする,Getting started fragment 3,入門のかけら3,1,green,Stamp ticket,スタンプチケット,3,0,1,{"anyOrdersCleared":[1]},FALSE
3,4,Order of music vol. row A,名前編 あ行の巻,Play musics start with row A,「あ行」から始まる名前の楽曲をプレー,Row A fragment,あ行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
4,5,Order of music vol. row K,名前編 か行の巻,Play musics start with row K,「か行」から始まる名前の楽曲をプレー,Row K fragment,か行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
5,6,Order of music vol. row S,名前編 さ行の巻,Play musics start with row S,「さ行」から始まる名前の楽曲をプレー,Row S fragment,さ行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
6,7,Order of music vol. row T,名前編 た行の巻,Play musics start with row T,「た行」から始まる名前の楽曲をプレー,Row T fragment,た行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
7,8,Order of music vol. row N,名前編 な行の巻,Play musics start with row N,「な行」から始まる名前の楽曲をプレー,Row N fragment,な行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
8,9,Order of music vol. row H,名前編 は行の巻,Play musics start with row H,「は行」から始まる名前の楽曲をプレー,Row H fragment,は行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
9,10,Order of music vol. row M,名前編 ま行の巻,Play musics start with row M,「ま行」から始まる名前の楽曲をプレー,Row M fragment,ま行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
10,11,Order of music vol. row Y,名前編 や行の巻,Play musics start with row Y,「や行」から始まる名前の楽曲をプレー,Row Y fragment,や行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
11,12,Order of music vol. row R,名前編 ら行の巻,Play musics start with row R,「ら行」から始まる名前の楽曲をプレー,Row R fragment,ら行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
12,13,Order of music vol. row W,名前編 わ行の巻,Play musics start with row W,「わ行」から始まる名前の楽曲をプレー,Row W fragment,わ行のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersClearedCount":10},TRUE
13,14,Order of level 1,レベル編 ☆1,Play musics of level 1,レベル1の楽曲をプレー,Level 1 fragment,レベル1のかけら,8,orange,Stamp ticket,スタンプチケット,3,1,1,{"orderExperience":31900},TRUE
14,15,Order of level 2,レベル編 ☆2,Play musics of level 2,レベル2の楽曲をプレー,Level 2 fragment,レベル2のかけら,8,orange,Stamp ticket,スタンプチケット,3,1,1,"{""anyOrdersCleared"":[3,4,5,6,7,8,9,10,11,12]}",TRUE
15,16,Order of level 3,レベル編 ☆3,Play musics of level 3,レベル3の楽曲をプレー,Level 3 fragment,レベル3のかけら,8,orange,Stamp ticket,スタンプチケット,3,1,1,"{""anyOrdersCleared"":[3,4,5,6,7,8,9,10,11,12]}",TRUE
16,17,Order of level 4,レベル編 ☆4,Play musics of level 4,レベル4の楽曲をプレー,Level 4 fragment,レベル4のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[3,4,5,6,7,8,9,10,11,12]}",TRUE
17,18,Order of level 5,レベル編 ☆5,Play musics of level 5,レベル5の楽曲をプレー,Level 5 fragment,レベル5のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[3,4,5,6,7,8,9,10,11,12]}",TRUE
18,19,Order of level 6,レベル編 ☆6,Play musics of level 6,レベル6の楽曲をプレー,Level 6 fragment,レベル6のかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[3,4,5,6,7,8,9,10,11,12]}",TRUE
19,20,Order of level 7,レベル編 ☆7,Play musics of level 7,レベル7の楽曲をプレー,Level 7 fragment,レベル7のかけら,18,orange,Stamp ticket,スタンプチケット,4,1,3,"{""anyOrdersCleared"":[13,14,15,16,17,18]}",TRUE
20,21,Order of level 8,レベル編 ☆8,Play musics of level 8,レベル8の楽曲をプレー,Level 8 fragment,レベル8のかけら,18,orange,Stamp ticket,スタンプチケット,4,1,3,{"anyOrdersCleared":[19]},TRUE
21,22,Order of level 9,レベル編 ☆9,Play musics of level 9,レベル9の楽曲をプレー,Level 9 fragment,レベル9のかけら,20,orange,Stamp ticket,スタンプチケット,4,1,3,{"anyOrdersCleared":[20]},TRUE
22,23,Order of level 10,レベル編 ☆10,Play musics of level 10,レベル10の楽曲をプレー,Level 10 fragment,レベル10のかけら,30,orange,Stamp ticket,スタンプチケット,5,1,4,{"anyOrdersCleared":[21]},TRUE
23,24,Order of level 10+,レベル編 ☆10+,Play musics of level 10+,レベル10+の楽曲をプレー,Level 10+ fragment,レベル10+のかけら,35,orange,Stamp ticket,スタンプチケット,10,1,4,{"anyOrdersCleared":[22]},TRUE
24,25,Order of difficulty "BASIC",難易度編 BASIC,Play musics in BASIC difficulty,BASICをプレー,BASIC fragment,BASICのかけら,7,orange,Stamp ticket,スタンプチケット,1,1,1,{"anyOrdersClearedCount":10},TRUE
25,26,Order of difficulty "MEDIUM",難易度編 MEDIUM,Play musics in MEDIUM difficulty,MEDIUMをプレー,MEDIUM fragment,MEDIUMのかけら,8,orange,Stamp ticket,スタンプチケット,3,1,2,{"anyOrdersCleared":[24]},TRUE
26,27,Order of difficulty "HARD",難易度編 HARD,Play musics in HARD difficulty,HARDをプレー,HARD fragment,HARDのかけら,10,orange,Stamp ticket,スタンプチケット,3,1,3,{"anyOrdersCleared":[25]},TRUE
27,28,Order of genre "J-POP",ジャンル編 J-POP好き,Play musics of J-POP genre,J-POPの楽曲をプレー,J-POP fragment,J-POPのかけら,9,orange,Stamp ticket,スタンプチケット,3,1,2,{},TRUE
28,29,Order of genre "Anime / Game",ジャンル編 アニメ・ゲーム好き,Play musics of Anime / Game genre,アニメ・ゲームの楽曲をプレー,Anime / Game fragment,アニメ・ゲームのかけら,10,orange,Stamp ticket,スタンプチケット,3,1,2,{},TRUE
29,30,Order of genre "Variety",ジャンル編 バラエティ好き,Play musics of Variety genre,バラエティの楽曲をプレー,Variety fragment,バラエティのかけら,8,orange,Stamp ticket,スタンプチケット,3,1,2,{},TRUE
30,31,Order of genre "KONAMI Original",ジャンル編 コナオリ好き,Play musics of KONAMI Original genre,コナミオリジナルの楽曲をプレー,KONAMI Original fragment,コナオリのかけら,11,orange,Stamp ticket,スタンプチケット,3,1,2,{},TRUE
31,32,Order of title "REFLEC BEAT",バージョン編 初代派,Play musics of REFLEC BEAT,初代REFLEC BEATの楽曲をプレー,REFLEC BEAT fragment,初代のかけら,12,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
32,33,Order of title "limelight",バージョン編 ライムライト派,Play musics of REFLEC BEAT limelight,REFLEC BEAT limelightの楽曲をプレー,Limelight fragment,ライムライトのかけら,14,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
33,34,Order of title "colette",バージョン編 コレット派,Play musics of REFLEC BEAT colette,REFLEC BEAT coletteの楽曲をプレー,Colette fragment,コレットのかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
34,35,Order of matching with anyone,マッチング編 誰とでも！,Matching with anyone,誰かとマッチングをする,Matching 1 fragment,マッチング1のかけら,12,orange,Stamp ticket,スタンプチケット,5,2,2,"{""anyOrdersCleared"":[27,28,29,30]}",TRUE
35,36,Order of matching with a team member,マッチング編 チームメンバーと！,Matching with team members,チームメンバーとマッチングする,Matching 2 fragment,マッチング2のかけら,12,orange,Stamp ticket,スタンプチケット,6,3,3,{"anyOrdersCleared":[34]},TRUE
36,37,Order of matching with a friend,マッチング編 お友達と！,Matching with friends,お気に入りプレイヤーとマッチングする,Matching 3 fragment,マッチング3のかけら,14,orange,Stamp ticket,スタンプチケット,7,4,3,{"anyOrdersCleared":[35]},TRUE
37,58,Winter gear - head ☆1,冬装備あたま編 ☆1,Play musics of level 1,レベル1の楽曲をプレー,Level 1 fragment,レベル1のかけら,8,blue,Warm hat,あったかい帽子,1,0,1,{},FALSE
38,59,Winter gear - head ☆2,冬装備あたま編 ☆2,Play musics of J-POP genre,J-POPの楽曲をプレー,J-POP fragment,J-POPのかけら,8,blue,Snow goggle,スノーゴーグル,1,0,1,"{""equipCondition"":{""index"":0,""season"":0,""experiences"":0}}",FALSE
39,60,Winter gear - head ☆3,冬装備あたま編 ☆3,Play musics of REFLEC BEAT colette,REFLEC BEAT coletteの曲をプレー,Colette fragment,コレットのかけら,10,blue,Hood for extreme cold,極寒地用フード,1,0,2,"{""equipCondition"":{""index"":0,""season"":0,""experiences"":1}}",FALSE
40,61,Winter gear - head ☆4,冬装備あたま編 ☆4,Play musics of REFLEC BEAT colette Winter,Winterバージョンの楽曲をプレー,Winter fragment,冬のかけら,10,blue,Safety helmet,安全メット,1,0,2,"{""equipCondition"":{""index"":0,""season"":0,""experiences"":2}}",FALSE
41,62,Winter gear - head ☆5,冬装備あたま編 ☆5,Play musics start with row M,「ま行」の楽曲をプレー,Row M fragment,ま行のかけら,12,blue,Fluffy hood,もふもふフード,1,0,3,"{""equipCondition"":{""index"":0,""season"":0,""experiences"":4}}",FALSE
42,63,Winter gear - head ☆6,冬装備あたま編 ☆6,Matching with friends,お気に入りプレイヤーとマッチング,Matching 3 fragment,マッチング3のかけら,14,blue,Hi-performance mask,高性能マスク,1,0,3,"{""equipCondition"":{""index"":0,""season"":0,""experiences"":7}}",FALSE
43,64,Winter gear - body ☆1,冬装備からだ編 ☆1,Play musics of level 3,レベル3の楽曲をプレー,Level 3 fragment,レベル3のかけら8個集める,8,blue,Casual clothing,カジュアルな服,1,0,1,{},FALSE
44,65,Winter gear - body ☆2,冬装備からだ編 ☆2,Play musics of REFLEC BEAT colette Winter,Winterバージョンの楽曲をプレー,Winter fragment,冬のかけら,8,blue,Snow wearing,スノーウェア,1,0,1,"{""equipCondition"":{""index"":1,""season"":0,""experiences"":0}}",FALSE
45,66,Winter gear - body ☆3,冬装備からだ編 ☆3,Play musics of REFLEC BEAT limelight,REFLEC BEAT limelightの楽曲をプレー,Limelight fragment,ライムライトのかけら,8,blue,Coat for extreme cold,極寒地用コート,1,0,2,"{""equipCondition"":{""index"":1,""season"":0,""experiences"":1}}",FALSE
46,67,Winter gear - body ☆4,冬装備からだ編 ☆4,Play musics of Anime / Game genre,アニメ・ゲームの楽曲をプレー,Anime / Game fragment,アニメ・ゲームのかけら,10,blue,Safety workwear,安全作業着,1,0,2,"{""equipCondition"":{""index"":1,""season"":0,""experiences"":2}}",FALSE
47,68,Winter gear - body ☆5,冬装備からだ編 ☆5,Play musics start with row K,「か行」から始まる名前の楽曲をプレー,Row K fragment,か行のかけら,12,blue,Fluffy suite,もこもこスーツ,1,0,3,"{""equipCondition"":{""index"":1,""season"":0,""experiences"":4}}",FALSE
48,69,Winter gear - body ☆6,冬装備からだ編 ☆6,Matching with team members,チームメンバーとマッチングする,Matching 2 fragment,マッチング2のかけら,14,blue,Hi-mobility armor,高機動アーマー,1,0,3,"{""equipCondition"":{""index"":1,""season"":0,""experiences"":7}}",FALSE
49,70,Winter gear - hand ☆1,冬装備もちもの編 ☆1,Play musics of level 2,レベル2の楽曲をプレー,Level 2 fragment,レベル2のかけら,8,blue,Handmade stock,手作りストック,1,0,1,{},FALSE
50,71,Winter gear - hand ☆2,冬装備もちもの編 ☆2,Play musics of KONAMI Original genre,コナミオリジナルの楽曲をプレー,KONAMI Original fragment,コナオリのかけら,8,blue,Snow stock,スノーストック,1,0,1,"{""equipCondition"":{""index"":2,""season"":0,""experiences"":0}}",FALSE
51,72,Winter gear - hand ☆3,冬装備もちもの編 ☆3,Play musics of REFLEC BEAT colette Winter,Winterバージョンの楽曲をプレー,Winter fragment,冬のかけら,8,blue,New stock,新鮮なストック,1,0,2,"{""equipCondition"":{""index"":2,""season"":0,""experiences"":1}}",FALSE
52,73,Winter gear - hand ☆4,冬装備もちもの編 ☆4,Play musics of REFLEC BEAT,初代REFLEC BEATの楽曲をプレー,REFLEC BEAT fragment,初代のかけら,10,blue,Boy's working gears,男の仕事道具,1,0,2,"{""equipCondition"":{""index"":2,""season"":0,""experiences"":2}}",FALSE
53,74,Winter gear - hand ☆5,冬装備もちもの編 ☆5,Play musics start with row H,「は行」から始まる名前の楽曲をプレー,Row H fragment,は行のかけら,12,blue,Pastel stick,パステルステッキ,1,0,3,"{""equipCondition"":{""index"":2,""season"":0,""experiences"":4}}",FALSE
54,75,Winter gear - hand ☆6,冬装備もちもの編 ☆6,Play via matching,マッチングをする,Matching 1 fragment,マッチング1のかけら,14,blue,Hi-power saber,高出力セイバー,1,0,3,"{""equipCondition"":{""index"":2,""season"":0,""experiences"":7}}",FALSE
55,76,Order of music seed No.1,楽曲のたね編 その1,Play musics of REFLEC BEAT colette Spring,Springバージョンの楽曲をプレー,Music fragment 1,楽曲のかけら1,3,violet,Sakura shaped seed,桜形のたね,1,0,2,"{""anyMusicsUnlocked"":[258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 271, 272, 273, 275]}",FALSE
56,77,Order of music seed No.2,楽曲のたね編 その2,Play musics of REFLEC BEAT colette Spring,Springバージョンの楽曲をプレー,Music fragment 2,楽曲のかけら2,6,violet,Sharp seed,とがったたね,1,0,3,"{""anyOrdersCleared"":[55],""orderExperience"":4300}",FALSE
57,78,Order of music seed No.3,楽曲のたね編 その3,Play musics of REFLEC BEAT colette Spring,Springバージョンの楽曲をプレー,Music fragment 3,楽曲のかけら3,9,violet,Fairy seed,妖精のたね,1,0,4,"{""allOrdersCleared"":[56],""anyOrdersCleared"":[37,43,49,38,44,50,39,45,51,40,46,52,41,47,53,42,48,54],""anyOrdersClearedCount"":3}",FALSE
58,38,Order of artist vol. row A,アーティスト編 あ行推し,Play musics which artist name start with row A,「あ行」で始まるアーティスト名の楽曲をプレー,Artist name row A fragment,アーティストあ行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,{},TRUE
59,39,Order of artist vol. row K,アーティスト編 か行推し,Play musics which artist name start with row K,「か行」で始まるアーティスト名の楽曲をプレー,Artist name row K fragment,アーティストか行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[3,4,5,6,7,8,9,10,11,12]}",TRUE
60,40,Order of artist vol. row S,アーティスト編 さ行推し,Play musics which artist name start with row S,「さ行」で始まるアーティスト名の楽曲をプレー,Artist name row S fragment,アーティストさ行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
61,41,Order of artist vol. row T,アーティスト編 た行推し,Play musics which artist name start with row T,「た行」で始まるアーティスト名の楽曲をプレー,Artist name row T fragment,アーティストた行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
62,42,Order of artist vol. row N,アーティスト編 な行推し,Play musics which artist name start with row N,「な行」で始まるアーティスト名の楽曲をプレー,Artist name row N fragment,アーティストな行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
