noteId,name,nameOrig,note,noteOrig
,,,,
int,string,string,string,string
0,Count Vanessa de Verdet,ヴァネッサ・ド・ヴェルデ伯爵,,"とある領国を治める伯爵家に生まれ、壮年期に先代が没すると爵位を継承した。
ほどなく領内に銀鉱山が発見され、採掘権を巡る争いが長く続き領国は荒廃。
しかしある時、信じがたい力を発揮し、自ら戦って紛争を終結させ、平和が訪れた領国を繁栄に導く。
その後しばらくの間、領民を思いやる名君として慕われていたのだが……"
1,Viscount Reinhard,ラインハルト子爵,,"ヴェルデ伯爵と共に戦い、領国平定に貢献した伯爵の親戚。
爵位が低いので自分の領国は持っておらず、そのため紛争が終わった後も伯爵領で執政の補佐を務めていたのだが、
あまりにも美しいクラウディアに道ならぬ恋慕を抱いてしまう。
彼の想いが行き着く先は……？"
2,Feuerrote Phonix,朱雀,,"伝説の神獣。
契約によって“時代を動かす力”を人間に与えるのだが、それは人の世を善くするためではなく、ただ単に人間の本性を観察するためである。
神獣ゆえに、人間はその真の姿を見ることはできない。
ただひとつの例外を除いて……"
3,Claudia,クラウディア,,"正確な時期は不明だが紛争終結の前後、突如として伯爵領に現れた若く美しい女性。
没落貴族の生き残りとも王族の隠し子とも噂されるが、いずれも定かではない。
独身だったヴェルデ伯爵と恋に落ち結婚、伯爵夫人となる。
結婚後はほとんど城から出ず、領民はその様子を知る由も無い。"
4,Maquire,マクイヤ,,"“最後のアサシン”と呼ばれている凄腕の暗殺者。
本人は気付いていないが不思議な力を持っており、今まで危険な依頼を生き延びてこられたのは、その力のおかげでもある。
一度は暗殺の仕事から足を洗ったのだが、理不尽な病に冒された妹を治すため、今は大金を必要としている。
そしてふたたび暗殺依頼を請け負うのだが……"
5,Power of Red,赤の力,,"感情の起伏やその心の振れ幅で炎を操ることができる。"
6,Power of White,白の力,,"赤の力に対抗できる力。"
7,Ash of Regret,懺悔の灰,,"赤い力に焼かれたすべての灰は異常に黒く、吸い込むと病を患うことから、人々に懺悔の灰と恐れられた。"
